timestamp,severity,pid,ppid,name,path,username,status,reason
2026-08-17 16:35:36,MEDIUM,15976,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,16244,15900,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,16252,15900,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,16352,15900,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,16480,18804,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,16552,9420,ONENOTEM.EXE,C:\Program Files\Microsoft Office\root\Office16\ONENOTEM.EXE,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,16576,18156,OpenConsole.exe,C:\Users\nitin\AppData\Local\Programs\Microsoft VS Code\a5b5009513\resources\app\node_modules.asar.unpacked\node-pty\build\Release\conpty\OpenConsole.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,16752,17388,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,16876,17388,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,17072,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,17388,9420,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,17608,11032,Dropbox.exe,C:\Program Files (x86)\Dropbox\Client\Dropbox.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,17640,17388,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,17732,9420,mscopilot.exe,C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,17812,7812,WhatsApp.Root.exe,C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2631.102.0_x64__cv1g1gvanyjgm\WhatsApp.Root.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,17880,17732,mscopilot.exe,C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,18068,1504,elevation_service.exe,C:\Program Files (x86)\Microsoft\Copilot\Application\150.0.4078.96\elevation_service.exe,,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,18076,17732,mscopilot.exe,C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,18084,17732,mscopilot.exe,C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,18120,17732,mscopilot.exe,C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,18152,7812,m365copilot_autostarter.exe,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_19.2608.41021.0_x64__8wekyb3d8bbwe\m365copilot_autostarter.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,18156,5912,Code.exe,C:\Users\nitin\AppData\Local\Programs\Microsoft VS Code\Code.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,18804,17812,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,18840,17608,Dropbox.exe,C:\Program Files (x86)\Dropbox\Client\Dropbox.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,18848,18804,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,19128,5912,Code.exe,C:\Users\nitin\AppData\Local\Programs\Microsoft VS Code\Code.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,19164,17608,Dropbox.exe,C:\Program Files (x86)\Dropbox\Client\Dropbox.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,19428,18804,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,19436,18804,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,19652,17608,Dropbox.exe,C:\Program Files (x86)\Dropbox\Client\Dropbox.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,19656,11032,vmware-tray.exe,C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,19692,18804,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,20132,17388,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,20468,5788,brave.exe,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,20972,17608,Dropbox.exe,C:\Program Files (x86)\Dropbox\Client\Dropbox.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,21016,17608,Dropbox.exe,C:\Program Files (x86)\Dropbox\Client\Dropbox.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
2026-08-17 16:35:36,MEDIUM,21080,5912,Code.exe,C:\Users\nitin\AppData\Local\Programs\Microsoft VS Code\Code.exe,VASANTHA\nitin,running,Process is not present in the configured allowlist.
